warm, wise
clearer, late
youngest, youngest
bad, good
more, poor
best, nobler
strict, strongest
simple, upper
fairest, fastest
bad, grave
cold, warm
darkest, pure
green, safer
safest, thinner
drier, short
cold, rarer
happy, smallest
deader, longest
easier, thinner
strong, stupider
shortest, weird
far, weak
colder, slow
colder, rare
happiest, young
fair, weird
biggest, heavier
healthier, low
clearest, cruellest
brighter, rich
deeper, finest
better, earlier
clear, late
darkest, stranger
brighter, lower
healthier, poorer
grimmer, heavy
heavy, newest
fastest, wider
busier, shorter
cruel, drier
sounder, thinner
long, stranger
darkest, large
dense, green
bigger, nobler
poorer, rarer
bad, richest
cheap, happier
clearest, light
narrower, strictest
quieter, thinner
best, worse
ever, sound
clearest, luckier
darker, happier
clearer, happiest
wide, widest
fewer, happy
clearer, good
lesser, slow
purer, tough
dense, early
dead, upper
clear, happiest
deepest, modest
few, poor
dense, newest
broader, subtler
healthy, newest
great, stupid
latest, louder
clear, happy
most, shortest
deeper, richer
fast, smarter
rarest, smallest
late, some
cruel, quiet
deep, nice
longer, narrower
grave, healthy
fast, strong
closer, kosher
stronger, younger
happiest, long
fair, smart
great, newer
hardest, warm
broad, old
poorest, young
luckier, weak
cuter, few
bad, happier
broader, old
dead, slow
subtler, weird
cooler, well
late, pretty
best, grimmer
nicer, well
closest, slower
easiest, true
lesser, worse
hardest, small
bigger, high
truer, worst
largest, newest
lower, thin
ever, ever
hardest, older
hot, louder
biggest, freest
latter, thin
lighter, older
greener, narrow
stupider, wider
freest, interest
clearer, tougher
late, longest
cooler, narrow
more, truer
best, cold
best, largest
cuter, weird
newer, warm
clear, safest
good, narrower
less, safer
safer, sound
greatest, richest
fairer, latter
louder, safer
much, strong
later, newer
slower, small
grim, strict
cheap, purer
simple, simple
simpler, slow
loud, louder
late, light
bigger, stupider
grave, many
great, poorer
pretty, sound
best, stricter
busy, pure
easy, poorer
freer, tough
cheap, thinner
quiet, surer
ever, grimmer
best, light
lovelier, smaller
dark, warm
cute, purer
close, late
few, louder
grim, grim
deep, stupid
cold, sound
highest, warmest
busy, shorter
safe, strongest
strongest, true
happiest, pretty
bright, lovely
noble, slower
dead, harder
bad, grim
simpler, wiser
dead, fast
cheaper, worse
long, wiser
hard, simple
earliest, stupid
harder, quickest
little, surer
fewer, warmer
dead, far
gravest, long
bad, young
best, warmer
darker, worst
cuter, great
small, sound
closer, ever
greener, late
happy, hot
easiest, worse
grim, narrower
deader, deepest
bigger, later
denser, strong
some, younger
sounder, warmest
long, stricter
hard, longest
big, faster
dark, stricter
cheaper, strange
interest, poor
cooler, finest
milder, smaller
fairest, simple
largest, rarer
old, subtle
deeper, early
bigger, short
closest, cool
grimmer, rarer
little, little
great, most
easiest, prouder
clear, smallest
fairer, small
green, old
better, happy
another, lighter
much, old
finest, larger
another, worse
few, great
largest, weaker
faster, lovelier
deeper, deepest
wide, youngest
colder, grim
dense, tall
deeper, greener
warmer, wider
cruellest, latter
far, much
lucky, tougher
happiest, lesser
smaller, weird
newer, smaller
colder, young
healthy, quieter
deepest, ever
freest, little
poor, youngest
richer, stronger
longest, thin
deeper, less
closer, young
darker, safer
quiet, weirder
surer, thinner
tougher, younger
busy, younger
healthier, much
harder, lovely
easier, smallest
low, newer
hotter, wise
dense, interest
rich, stranger
some, subtler
many, quiet
brighter, warmest
busier, deeper
cheap, harder
quicker, rarer
tough, young
brighter, wiser
late, smallest
brighter, deeper
healthy, purer
green, proper
harder, small
hardest, late
cooler, lovely
cheaper, cheaper
early, stronger
safe, strict
greatest, strong
happier, narrow
busy, prettier
deep, lucky
easiest, small
quickest, sound
deep, taller
grave, safest
hotter, lovely
healthier, longer
cooler, shortest
few, weird
lighter, nice
closest, fewer
smarter, weaker
darker, highest
cool, denser
harder, poorest
heavier, worse
cheap, loud
easiest, weird
rarer, stranger
far, richer
cool, quickest
green, worst
milder, wise
smaller, thin
simplest, worst
firm, slow
little, some
wiser, younger
firm, worse
quick, quieter
large, stupider
happier, quieter
narrow, weirder
hardest, lucky
darker, harder
dense, weird
colder, longest
busier, worse
clearer, poor
cooler, strictest
biggest, safest
quieter, safest
green, higher
grave, quieter
better, easiest
best, youngest
biggest, latest
safest, taller
fairest, heavy
longest, smaller
few, few
longer, smaller
heavier, poor
busy, finest
heavy, young
happy, subtle
simplest, strong
grim, youngest
better, stronger
healthy, long
darkest, worst
lucky, thinner
true, weirder
poor, tough
cruel, great
few, safe
deep, short
luckier, short
denser, earlier
fair, finest
fat, narrower
cheap, rarer
longer, lower
newest, strict
hard, wiser
green, richest
cold, long
denser, hard
cheaper, weakest
green, larger
narrower, old
drier, longer
truer, weirder
grimmer, worse
bad, cheap
heavier, strongest
deeper, safer
pure, simple
cool, quicker
close, interest
clearest, cute
cruel, warm
loud, wider
cute, pure
close, strict
cheaper, loud
bright, grimmer
clearer, older
long, sure
easier, later
longer, slow
good, newer
kosher, shortest
biggest, lesser
cruellest, truer
stricter, taller
fast, harder
grim, smaller
cheaper, old
bad, green
big, less
light, richest
happy, tougher
broadest, highest
lesser, strictest
big, low
fat, hardest
hotter, largest
simpler, wider
deeper, gravest
fair, large
close, true
cool, larger
deeper, sounder
interest, poorer
fatter, strongest
biggest, slow
late, lowest
more, sound
latter, younger
latest, light
thinner, weakest
proper, slow
cruel, strongest
bigger, bright
earliest, simplest
longer, most
few, quieter
firm, hard
busier, greater
loud, new
strict, true
cool, slower
small, stranger
earliest, longer
drier, hard
bright, older
hardest, quickest
finest, happiest
poor, upper
another, largest
kosher, newest
milder, stupid
few, lucky
healthier, rarest
happiest, slow
biggest, upper
fastest, strict
late, weakest
earliest, nobler
easier, pretty
loud, narrow
brighter, darkest
broadest, fatter
closest, louder
deepest, rarer
firm, longer
loud, lovely
hot, poorest
easy, poor
long, youngest
busy, warmest
subtler, thin
large, much
clearest, faster
early, worse
hot, poorer
lucky, strong
brighter, cuter
low, strict
