newest, poor
harder, weakest
latest, thin
quickest, truer
clear, tough
poorer, taller
best, deep
cuter, firmer
biggest, old
closer, quieter
cooler, weaker
drier, interest
darker, many
fair, short
healthy, simple
rich, truer
clear, loud
hard, larger
grimmer, wiser
upper, widest
fair, few
cheap, easy
harder, warm
grave, loud
fairest, happiest
kosher, smarter
newer, some
clear, harder
proper, strictest
easier, greener
broadest, most
fairest, grim
strongest, wider
clear, quiet
smaller, true
busier, earliest
lucky, small
highest, subtle
firmer, latest
early, milder
strict, sure
cruellest, quiet
colder, hardest
hardest, longest
older, taller
harder, safest
warm, weakest
deader, hardest
good, hot
great, pretty
dead, largest
fairer, loud
freest, taller
widest, wiser
strictest, warmer
cuter, worst
cruellest, freer
quick, safest
bad, highest
cruel, healthier
happier, thinner
newer, thin
cruellest, subtler
smallest, weirder
older, young
proud, stricter
larger, lowest
gravest, many
heavier, hotter
deeper, ever
cute, darker
clear, higher
large, later
gravest, rich
darker, large
newer, nicer
easier, happiest
dense, dry
freer, light
surer, young
largest, sound
late, warm
proper, warmest
deepest, stupider
more, quickest
busier, clear
farther, newest
pretty, surer
lovelier, noble
cuter, proud
clearer, closer
happier, sound
another, subtle
modest, safest
ever, greater
best, some
poorer, simpler
nicer, weak
long, slower
hot, newest
busy, gravest
least, purer
faster, firmer
deep, longest
narrower, stricter
darker, weakest
slower, warmest
big, worst
cuter, stranger
smarter, weakest
most, weaker
pretty, wider
big, gravest
safer, thinner
cuter, richest
old, weaker
hardest, hot
tougher, weaker
dense, nicer
stranger, weakest
taller, thin
best, smallest
few, grimmer
close, fairest
longest, worst
fast, longer
freest, lovelier
strict, surer
heavy, smart
finest, rich
cruel, little
closest, latest
honest, safe
dense, great
light, younger
quicker, worst
quick, tough
honest, proud
larger, louder
hotter, weirder
rarer, stupid
happier, loud
finest, wiser
busier, healthy
heavy, highest
another, dark
happy, weak
deepest, rare
dry, longer
lesser, stronger
dark, shorter
fast, hotter
grim, simpler
low, taller
new, stricter
denser, least
closer, weaker
cooler, smaller
tall, weakest
nice, youngest
new, tall
nicer, short
clear, freest
poor, warmest
free, thin
cruellest, stricter
firmer, green
hard, simpler
longest, strictest
dry, high
more, wiser
bright, richest
nobler, weaker
early, louder
lowest, simple
nobler, tougher
best, fairest
bright, stricter
quick, short
weakest, wider
better, deader
busier, fastest
healthier, interest
colder, modest
dense, much
greener, small
bad, longer
healthy, heavy
greener, subtler
firm, older
